Random listing order was used

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       34    0.001    0.000    0.026    0.001 colors.py:1062(_init)
     6732    0.005    0.000    0.017    0.000 transforms.py:2216(transform_non_affine)
      884    0.018    0.000    0.060    0.000 ticker.py:746(_compute_offset)
      884    0.029    0.000    0.078    0.000 ticker.py:819(_set_format)
      340    0.001    0.000    0.001    0.000 ticker.py:710(get_offset)
     2550    0.049    0.000    0.062    0.000 bezier.py:199(__init__)
   1186/8    1.007    0.001    0.200    0.025 threading.py:323(wait)
      275    0.013    0.000    0.236    0.001 dataclasses.py:921(_process_class)
    31178    0.095    0.000    0.353    0.000 copy.py:247(_reconstruct)
     3797    0.083    0.000    4.305    0.001 shutil.py:230(copyfile)
        8    0.000    0.000    0.000    0.000 parse.py:469(urlsplit)
       35    0.000    0.000    0.000    0.000 parse.py:951(quote_from_bytes)
     1836    0.004    0.000    0.009    0.000 dataclasses.py:701(_is_type)
    66719    0.189    0.000    0.485    0.000 copy.py:61(copy)
        1    0.000    0.000    0.000    0.000 tempfile.py:360(mkdtemp)
        4    0.000    0.000    0.020    0.005 subprocess.py:807(__init__)
        1    0.000    0.000    0.000    0.000 subprocess.py:1092(__exit__)
        4    0.000    0.000    0.000    0.000 subprocess.py:1282(_close_pipe_fds)
        4    0.000    0.000    0.000    0.000 subprocess.py:1335(_get_handles)
     3808    0.038    0.000    0.055    0.000 random.py:454(choices)
        4    0.000    0.000    0.020    0.005 subprocess.py:1436(_execute_child)
        1    0.000    0.000    0.059    0.059 subprocess.py:1603(_communicate)
     3798    0.041    0.000    3.014    0.001 tempfile.py:537(NamedTemporaryFile)
     2805    0.016    0.000    0.157    0.000 path.py:413(iter_bezier)
     4080    0.100    0.000    0.506    0.000 polynomial.py:172(roots)
2112559/136691    4.284    0.000    9.508    0.000 copy.py:118(deepcopy)
     1111    0.001    0.000    0.002    0.000 dataclasses.py:489(_field_init)
        4    0.000    0.000    0.000    0.000 subprocess.py:576(list2cmdline)
     1045    0.005    0.000    0.014    0.000 dataclasses.py:760(_get_field)
       29    0.000    0.000    0.000    0.000 typing.py:1123(_generic_init_subclass)
       83    0.000    0.000    0.000    0.000 typing.py:2446(no_type_check)
       16    0.001    0.000    0.004    0.000 typing.py:2814(__new__)
    17128    0.074    0.000    0.107    0.000 __init__.py:65(check_isinstance)
     3797    0.016    0.000    0.555    0.000 shutil.py:206(_samefile)
     1628    0.005    0.000    0.011    0.000 typing.py:175(_type_check)
        3    0.000    0.000    0.000    0.000 version.py:188(__init__)
     1300    0.003    0.000    0.008    0.000 arrayprint.py:753(_extendLine_pretty)
     1666    0.005    0.000    0.012    0.000 cbook.py:2352(_unpack_to_numpy)
     1156    0.010    0.000    0.027    0.000 cbook.py:293(connect)
        1    0.000    0.000    0.000    0.000 __init__.py:276(create_unicode_buffer)
   128060    0.856    0.000    1.029    0.000 _methods.py:67(_count_reduce_items)
        2    0.001    0.000    0.002    0.001 getlimits.py:540(_init)
      816    0.003    0.000    0.005    0.000 getlimits.py:484(__new__)
    74763    1.339    0.000    4.043    0.000 _methods.py:101(_mean)
       32    0.000    0.000    0.015    0.000 arrayprint.py:907(__init__)
     4148    0.010    0.000    0.019    0.000 linalg.py:159(_commonType)
     3007    0.009    0.000    0.022    0.000 _ufunc_config.py:33(seterr)
     1156    0.006    0.000    0.007    0.000 weakref.py:46(__new__)
      289    0.002    0.000    0.003    0.000 threading.py:277(__init__)
   172398    0.478    0.000    1.167    0.000 contextlib.py:299(helper)
        1    0.000    0.000    0.000    0.000 contextlib.py:355(__init__)
        1    0.000    0.000    0.000    0.000 contextlib.py:357(__enter__)
    18734    0.011    0.000    0.049    0.000 __init__.py:1339(is_interactive)
      287    0.000    0.000    0.000    0.000 contextlib.py:440(__init__)
       19    0.000    0.000    0.000    0.000 contextlib.py:471(_create_exit_wrapper)
       10    0.000    0.000    0.000    0.000 contextlib.py:477(_exit_wrapper)
       10    0.000    0.000    0.000    0.000 contextlib.py:475(_create_cb_wrapper)
       51    0.000    0.000    0.000    0.000 contextlib.py:772(__init__)
       51    0.000    0.000    0.000    0.000 contextlib.py:775(__enter__)
     5729    0.003    0.000    0.009    0.000 __init__.py:1351(_val_or_rc)
      207    0.000    0.000    0.000    0.000 inspect.py:748(getmro)
    21297    0.005    0.000    0.005    0.000 inspect.py:2796(name)
     1184    0.000    0.000    0.000    0.000 inspect.py:2800(default)
      124    0.000    0.000    0.000    0.000 inspect.py:2804(annotation)
     3265    0.000    0.000    0.000    0.000 inspect.py:2808(kind)
       56    0.000    0.000    0.000    0.000 contextlib.py:481(__init__)
     1612    0.001    0.000    0.001    0.000 inspect.py:302(isclass)
       21    0.000    0.000    0.000    0.000 inspect.py:402(isgeneratorfunction)
        6    0.000    0.000    0.007    0.001 inspect.py:611(getmembers)
       39    0.000    0.000    0.000    0.000 inspect.py:2290(RewriteSymbolics)
